OppTeam,Date,team,BowlingFirst,BattingFirst,winning team
australia,22/06/2010,england,yes,no,england
australia,24/06/2010,england,no,yes,england
australia,27/06/2010,england,yes,no,england
australia,30/06/2010,england,yes,no,australia
australia,3/7/2010,england,no,yes,australia
pakistan,10/9/2010,england,no,yes,england
pakistan,12/9/2010,england,yes,no,england
pakistan,17/09/2010,england,yes,no,pakistan
pakistan,20/09/2010,england,no,yes,pakistan
pakistan,22/09/2010,england,no,yes,england
australia,16/01/2011,england,yes,no,australia
australia,21/01/2011,england,yes,no,australia
australia,30/01/2011`,england,no,yes,australia
australia,26/01/2011,england,yes,no,england
australia,30/01/2011,england,no,yes,australia
australia,2/2/2011,england,yes,no,australia
australia,6/2/2011,england,no,yes,australia
pakistan,13/2/2012,england,yes,no,england
pakistan,15/2/2012,england,no,yes,england
pakistan,18/2/2012,england,yes,no,england
pakistan,22/2/2012,england,yes,no,england
australia,29/6/2012,england,no,yes,england
australia,1/7/2012,england,yes,no,england
australia,7/7/2012,england,no,yes,england
australia,10/7/2012,england,yes,no,england
australia,3/9/2013,england,no,yes,australia
australia,8/9/2013,england,yes,no,no result
australia,11/9/2013,england,no,yes,england
australia,14/09/2013,england,no,yes,australia
australia,16/09/2013,england,no,yes,australia
australia,12/1/2014,england,yes,no,australia
australia,19/1/2014,england,no,yes,england
australia,24/1/2014,england,yes,no,australia
australia,26/1/2014,england,no ,yes,england
australia,3/9/2015,england,yes,no,australia
australia,5/9/2015,england,yes,no,australia
australia,8/9/2015,england,no ,yes,england
australia,11/9/2015,england,yes,no,england
australia,12/9/2015,england,no,yes,australia
pakistan,11/11/2015,england,yes,no,pakistan
pakistan,13/11/2015,england,no ,yes,england
pakistan,17/11/2015,england,yes,no,england
pakistan,20/11/2015,england,no,yes,england
pakistan,24/8/2016,england,yes,no,england
pakistan,27/8/2016,england,yes,no,england
pakistan,30/8/2016,england,no,yes,england
pakistan,1/9/2016,england,yes,no,england
pakistan,4/9/2016,england,no,yes,pakistan
australia,14/1/2018,england,yes,no,england
australia,18/1/2018,england,yes,no,england
australia,21/1/2018,england,no,yes,england
australia,26/1/2018,england,yes,no,australia
australia,28/1/2018,england,yes,no,england
pakistan,8/5/2019,england,no,yes,no result
pakistan,11/5/2019,england,no,yes,england
pakistan,14/5/2019,england,yes,no,england
pakistan,17/5/2019,england,yes,no,england
pakistan,19/5/2019,england,no,yes,england
australia,11/9/2020,england,yes,no,australia
australia,13/9/2020,england,no,yes,england
australia,16/9/2020,england,no,yes,australia
