OppTeam,Date,team,BowlingFirst,BattingFirst,winning team,pakistan wins or 0t,england win aur 0t,australia win or loss
australia,22/06/2010,england,1,1,england,0,1,0
australia,24/06/2010,england,0,1,england,0,1,0
australia,27/06/2010,england,1,1,england,0,1,0
australia,30/06/2010,england,1,1,australia,0,0,1
australia,3/7/2010,england,0,1,australia,0,0,1
pakistan,10/9/2010,england,0,1,england,0,1,0
pakistan,12/9/2010,england,1,1,england,0,1,0
pakistan,17/09/2010,england,1,1,pakistan,1,0,0
pakistan,20/09/2010,england,0,1,pakistan,1,0,0
pakistan,22/09/2010,england,0,1,england,0,1,0
australia,16/01/2011,england,1,1,australia,0,0,1
australia,21/01/2011,england,1,1,australia,0,0,1
australia,30/01/2011`,england,0,1,australia,0,0,1
australia,26/01/2011,england,1,1,england,0,1,0
australia,30/01/2011,england,0,1,australia,0,0,1
australia,2/2/2011,england,1,1,australia,0,0,1
australia,6/2/2011,england,0,1,australia,0,0,1
pakistan,13/2/2012,england,1,1,england,0,1,0
pakistan,15/2/2012,england,0,1,england,0,1,0
pakistan,18/2/2012,england,1,1,england,0,1,0
pakistan,22/2/2012,england,1,1,england,0,1,0
australia,29/6/2012,england,0,1,england,0,1,0
australia,1/7/2012,england,1,1,england,0,1,0
australia,7/7/2012,england,0,1,england,0,1,0
australia,10/7/2012,england,1,1,england,0,1,0
australia,3/9/2013,england,0,1,australia,0,0,1
australia,8/9/2013,england,1,1,0 result,0,0,0
australia,11/9/2013,england,0,1,england,0,1,0
australia,14/09/2013,england,0,1,australia,0,0,1
australia,16/09/2013,england,0,1,australia,0,0,1
australia,12/1/2014,england,1,1,australia,0,0,1
australia,19/1/2014,england,0,1,england,0,1,0
australia,24/1/2014,england,1,1,australia,0,0,1
australia,26/1/2014,england,0,1,england,0,1,0
australia,3/9/2015,england,1,1,australia,0,0,1
australia,5/9/2015,england,1,1,australia,0,0,1
australia,8/9/2015,england,0,1,england,0,1,0
australia,11/9/2015,england,1,1,england,0,1,0
australia,12/9/2015,england,0,1,australia,0,0,1
pakistan,11/11/2015,england,1,1,pakistan,1,0,0
pakistan,13/11/2015,england,0,1,england,0,1,0
pakistan,17/11/2015,england,1,1,england,0,1,0
pakistan,20/11/2015,england,0,1,england,0,1,0
pakistan,24/8/2016,england,1,1,england,0,1,0
pakistan,27/8/2016,england,1,1,england,0,1,0
pakistan,30/8/2016,england,0,1,england,0,1,0
pakistan,1/9/2016,england,1,1,england,0,1,0
pakistan,4/9/2016,england,0,1,pakistan,1,0,0
australia,14/1/2018,england,1,1,england,0,1,0
australia,18/1/2018,england,1,1,england,0,1,0
australia,21/1/2018,england,0,1,england,0,1,0
australia,26/1/2018,england,1,1,australia,0,0,1
australia,28/1/2018,england,1,1,england,0,1,0
pakistan,8/5/2019,england,0,1,0 result,0,0,0
pakistan,11/5/2019,england,0,1,england,0,1,0
pakistan,14/5/2019,england,1,1,england,0,1,0
pakistan,17/5/2019,england,1,1,england,0,1,0
pakistan,19/5/2019,england,0,1,england,0,1,0
australia,11/9/2020,england,1,1,australia,0,0,1
australia,13/9/2020,england,0,1,england,0,1,0
australia,16/9/2020,england,0,1,australia,0,0,1
