OppTeam,Date,team,BowlingFirst,BattingFirst,winning team,pakistan wins or not,england win aur not,australia win or loss
australia,22/06/2010,england,yes,no,england,no,yes,no
australia,24/06/2010,england,no,yes,england,no,yes,no
australia,27/06/2010,england,yes,no,england,no,yes,no
australia,30/06/2010,england,yes,no,australia,no,no,yes
australia,3/7/2010,england,no,yes,australia,no,no,yes
pakistan,10/9/2010,england,no,yes,england,no,yes,no
pakistan,12/9/2010,england,yes,no,england,no,yes,no
pakistan,17/09/2010,england,yes,no,pakistan,yes,no,no
pakistan,20/09/2010,england,no,yes,pakistan,yes,no,no
pakistan,22/09/2010,england,no,yes,england,no,yes,no
australia,16/01/2011,england,yes,no,australia,no,no,yes
australia,21/01/2011,england,yes,no,australia,no,no,yes
australia,30/01/2011`,england,no,yes,australia,no,no,yes
australia,26/01/2011,england,yes,no,england,no,yes,no
australia,30/01/2011,england,no,yes,australia,no,no,yes
australia,2/2/2011,england,yes,no,australia,no,no,yes
australia,6/2/2011,england,no,yes,australia,no,no,yes
pakistan,13/2/2012,england,yes,no,england,no,yes,no
pakistan,15/2/2012,england,no,yes,england,no,yes,no
pakistan,18/2/2012,england,yes,no,england,no,yes,no
pakistan,22/2/2012,england,yes,no,england,no,yes,no
australia,29/6/2012,england,no,yes,england,no,yes,no
australia,1/7/2012,england,yes,no,england,no,yes,no
australia,7/7/2012,england,no,yes,england,no,yes,no
australia,10/7/2012,england,yes,no,england,no,yes,no
australia,3/9/2013,england,no,yes,australia,no,no,yes
australia,8/9/2013,england,yes,no,no result,no,no,no
australia,11/9/2013,england,no,yes,england,no,yes,no
australia,14/09/2013,england,no,yes,australia,no,no,yes
australia,16/09/2013,england,no,yes,australia,no,no,yes
australia,12/1/2014,england,yes,no,australia,no,no,yes
australia,19/1/2014,england,no,yes,england,no,yes,no
australia,24/1/2014,england,yes,no,australia,no,no,yes
australia,26/1/2014,england,no ,yes,england,no,yes,no
australia,3/9/2015,england,yes,no,australia,no,no,yes
australia,5/9/2015,england,yes,no,australia,no,no,yes
australia,8/9/2015,england,no ,yes,england,no,yes,no
australia,11/9/2015,england,yes,no,england,no,yes,no
australia,12/9/2015,england,no,yes,australia,no,no,yes
pakistan,11/11/2015,england,yes,no,pakistan,yes,no,no
pakistan,13/11/2015,england,no ,yes,england,no,yes,no
pakistan,17/11/2015,england,yes,no,england,no,yes,no
pakistan,20/11/2015,england,no,yes,england,no,yes,no
pakistan,24/8/2016,england,yes,no,england,no,yes,no
pakistan,27/8/2016,england,yes,no,england,no,yes,no
pakistan,30/8/2016,england,no,yes,england,no,yes,no
pakistan,1/9/2016,england,yes,no,england,no,yes,no
pakistan,4/9/2016,england,no,yes,pakistan,yes,no,no
australia,14/1/2018,england,yes,no,england,no,yes,no
australia,18/1/2018,england,yes,no,england,no,yes,no
australia,21/1/2018,england,no,yes,england,no,yes,no
australia,26/1/2018,england,yes,no,australia,no,no,yes
australia,28/1/2018,england,yes,no,england,no,yes,no
pakistan,8/5/2019,england,no,yes,no result,no,no,no
pakistan,11/5/2019,england,no,yes,england,no,yes,no
pakistan,14/5/2019,england,yes,no,england,no,yes,no
pakistan,17/5/2019,england,yes,no,england,no,yes,no
pakistan,19/5/2019,england,no,yes,england,no,yes,no
australia,11/9/2020,england,yes,no,australia,no,no,yes
australia,13/9/2020,england,no,yes,england,no,yes,no
australia,16/9/2020,england,no,yes,australia,no,no,yes
